iterazione,L2_loss_RGB_st,L2_loss_EVENTs_RGBt
23400,0.0065,0.0057
23450,0.0075,0.0072
23500,0.0059,0.0055
23550,0.0122,0.0077
23600,0.0095,0.0091
23650,0.0135,0.0085
23700,0.0092,0.0085
23750,0.0089,0.0055
23800,0.0052,0.0098
23850,0.0104,0.0071
23900,0.0061,0.0058
23950,0.009,0.0087
24000,0.0082,0.01
24050,0.0083,0.0107
24100,0.0068,0.008
24150,0.0087,0.0089
24200,0.0089,0.0081
24250,0.0074,0.0098
24300,0.006,0.0066
24350,0.0058,0.0065
24400,0.0075,0.008
24450,0.007,0.0079
24500,0.0106,0.007
24550,0.0108,0.0089
24600,0.0097,0.0061
24650,0.0147,0.0082
24700,0.0079,0.0084
24750,0.0126,0.0069
24800,0.0079,0.0068
24850,0.0055,0.0075
24900,0.0042,0.0069
24950,0.012,0.0068
25000,0.0075,0.0082
25050,0.0069,0.0067
25100,0.0112,0.0051
25150,0.0057,0.0061
25200,0.0064,0.007
25250,0.0076,0.0079
25300,0.0097,0.0091
25350,0.0081,0.0059
25400,0.0088,0.0071
25450,0.0067,0.0098
25500,0.0056,0.0066
25550,0.008,0.0059
25600,0.0075,0.0077
25650,0.0071,0.0061
25700,0.0044,0.0066
25750,0.0046,0.0095
25800,0.0042,0.0057
25850,0.0044,0.0083
25900,0.0065,0.0066
25950,0.0059,0.0074
26000,0.0059,0.009
26050,0.0066,0.0105
26100,0.0066,0.0075
26150,0.0137,0.0116
26200,0.0153,0.0089
26250,0.0079,0.0057
26300,0.0064,0.007
26350,0.008,0.0078
26400,0.0062,0.0075
26450,0.0069,0.0061
26500,0.0081,0.007
26550,0.0086,0.0079
26600,0.0056,0.0061
26650,0.0055,0.0067
26700,0.0068,0.0141
26750,0.006,0.0064
26800,0.0055,0.0058
26850,0.0058,0.0113
26900,0.0086,0.0064
26950,0.0078,0.007
27000,0.0116,0.0076
27050,0.0065,0.0122
27100,0.0101,0.0079
27150,0.0066,0.0065
27200,0.0056,0.0065
27250,0.008,0.0095
27300,0.0068,0.008
27350,0.0065,0.0063
27400,0.0113,0.0066
27450,0.0071,0.0061
27500,0.0072,0.0104
27550,0.0084,0.006
27600,0.0056,0.0063
27650,0.0071,0.0072
27700,0.007,0.0075
27750,0.0057,0.0053
27800,0.0073,0.0063
27850,0.0102,0.0076
27900,0.0058,0.005
27950,0.008,0.0078
28000,0.0063,0.0061
28050,0.0056,0.0086
28100,0.005,0.0069
28150,0.008,0.012
28200,0.0107,0.0061
28250,0.0067,0.0069
28300,0.0081,0.0074
28350,0.0072,0.0055
28400,0.0053,0.0063
28450,0.0068,0.0065
28500,0.0053,0.0059
28550,0.0048,0.0059
28600,0.0048,0.0071
28650,0.0058,0.0084
28700,0.0058,0.0078
28750,0.0076,0.0055
28800,0.0094,0.0065
28850,0.0084,0.0068
28900,0.0082,0.0065
28950,0.0088,0.0068
29000,0.0096,0.0086
29050,0.0091,0.0069
29100,0.0084,0.008
29150,0.007,0.0078
29200,0.0085,0.0101
29250,0.0063,0.0084
29300,0.0083,0.0087
29350,0.0152,0.0099
29400,0.0074,0.0064
29450,0.0095,0.0088
29500,0.0069,0.0074
29550,0.0106,0.0061
29600,0.0075,0.0069
29650,0.0079,0.0057
29700,0.0079,0.0077
29750,0.0093,0.0083
29800,0.0113,0.0095
29850,0.0107,0.0082
29900,0.0108,0.0101
29950,0.0059,0.0093
30000,0.0091,0.0097
30050,0.01,0.0111
30100,0.0121,0.0075
30150,0.009,0.009
30200,0.0066,0.0068
30250,0.0091,0.009
30300,0.0111,0.0074
30350,0.0076,0.0128
30400,0.0064,0.0083
30450,0.0058,0.0065
30500,0.0085,0.0075
30550,0.009,0.0069
30600,0.0093,0.0073
30650,0.0062,0.0063
30700,0.0083,0.0109
30750,0.0094,0.0095
30800,0.0072,0.0095
30850,0.0066,0.0073
30900,0.007,0.0069
30950,0.0073,0.009
31000,0.0064,0.0067
31050,0.0066,0.0084
31100,0.0081,0.0102
31150,0.0095,0.0071
31200,0.0081,0.0066
31250,0.0068,0.0073
31300,0.0103,0.01
31350,0.0074,0.0055
31400,0.0072,0.009
31450,0.0106,0.015
31500,0.0104,0.0069
31550,0.0094,0.0065
31600,0.008,0.0106
31650,0.0065,0.0103
31700,0.0054,0.0061
31750,0.0094,0.0062
31800,0.0066,0.0093
31850,0.0094,0.0069
31900,0.0085,0.0098
31950,0.0098,0.006
32000,0.0079,0.0074
32050,0.0076,0.0092
32100,0.0072,0.0102
32150,0.0077,0.0066
32200,0.0086,0.0093
32250,0.0076,0.0081
32300,0.0139,0.0075
32350,0.0087,0.0087
32400,0.0134,0.0063
32450,0.0156,0.0086
32500,0.0063,0.01
32550,0.009,0.0072
32600,0.0084,0.0103
32650,0.0071,0.0087
32700,0.0077,0.0065
32750,0.0081,0.0087
32800,0.0103,0.0079
32850,0.0131,0.0114
32900,0.0079,0.0058
32950,0.0092,0.008
33000,0.0108,0.0088
33050,0.0104,0.0111
33100,0.0081,0.0074
33150,0.0097,0.008
33200,0.0101,0.0071
33250,0.0063,0.0082
33300,0.009,0.0072
33350,0.0088,0.0084
33400,0.0084,0.0081
33450,0.0078,0.0077
33500,0.0075,0.0062
33550,0.0088,0.0103
33600,0.0076,0.0106
33650,0.0103,0.01
33700,0.0091,0.0067
33750,0.0077,0.0062
33800,0.0072,0.0071
33850,0.0102,0.0068
33900,0.0091,0.0074
33950,0.0085,0.0127
34000,0.009,0.0084
34050,0.0088,0.0075
34100,0.0079,0.0066
34150,0.0077,0.0084
34200,0.0087,0.0074
34250,0.0088,0.0094
34300,0.0081,0.0072
34350,0.0148,0.0115
34400,0.0088,0.007
34450,0.0088,0.0081
34500,0.0094,0.0103
34550,0.0086,0.0066
34600,0.0124,0.0074
34650,0.0126,0.0116
34700,0.0067,0.0067
34750,0.0079,0.0112
34800,0.0104,0.0102
34850,0.0115,0.0074
34900,0.0084,0.0084
34950,0.0124,0.0093
35000,0.0128,0.0074
35050,0.0124,0.0126
35100,0.0083,0.006
35150,0.0086,0.0072
35200,0.0085,0.0098
35250,0.008,0.0069
35300,0.0103,0.0066
35350,0.0121,0.0083
35400,0.01,0.0091
35450,0.0108,0.0108
35500,0.0092,0.0086
35550,0.0085,0.0099
35600,0.0102,0.0097
35650,0.0079,0.0071
35700,0.0092,0.007
35750,0.0091,0.007
35800,0.0099,0.0104
35850,0.0092,0.0088
35900,0.0072,0.0074
35950,0.0097,0.0073
36000,0.0107,0.0089
36050,0.0105,0.0079
36100,0.0077,0.0065
36150,0.0096,0.0061
36200,0.0097,0.007
36250,0.0076,0.0091
36300,0.0124,0.0078
36350,0.0127,0.0077
36400,0.0098,0.0092
36450,0.0116,0.0102
36500,0.0105,0.0078
36550,0.0126,0.0098
36600,0.0122,0.0129
36650,0.0079,0.0086
36700,0.0086,0.0096
36750,0.011,0.0074
36800,0.0103,0.009
36850,0.011,0.0131
36900,0.0099,0.0093
36950,0.0093,0.007
37000,0.0112,0.0089
37050,0.0114,0.0086
37100,0.0082,0.0087
37150,0.0088,0.0065
37200,0.0123,0.0077
37250,0.0092,0.0084
37300,0.0091,0.0074
37350,0.0145,0.0069
37400,0.0167,0.0081
37450,0.0098,0.0087
37500,0.0093,0.0065
37550,0.0103,0.0065
37600,0.012,0.0081
37650,0.0104,0.0106
37700,0.008,0.0076
37750,0.0102,0.0094
37800,0.0093,0.0077
37850,0.01,0.0067
37900,0.01,0.0148
37950,0.016,0.0096
38000,0.0091,0.009
38050,0.012,0.0069
38100,0.0104,0.0071
38150,0.0097,0.0077
38200,0.0086,0.0123
38250,0.0101,0.0093
38300,0.0121,0.0087
38350,0.0078,0.0066
38400,0.0096,0.0077
38450,0.0079,0.0091
38500,0.0089,0.0082
38550,0.0101,0.0074
38600,0.0097,0.0086
38650,0.0099,0.0077
38700,0.0088,0.0074
38750,0.01,0.0084
38800,0.0088,0.0074
38850,0.0085,0.0071
38900,0.0098,0.0071
38950,0.0121,0.0074
39000,0.0089,0.0067
39050,0.0088,0.0076
39100,0.0088,0.006
39150,0.0103,0.0085
39200,0.0077,0.0067
39250,0.0095,0.0073
39300,0.008,0.0076
39350,0.0103,0.0108
39400,0.0082,0.0086
39450,0.0116,0.0109
39500,0.0102,0.0098
39550,0.0124,0.0111
39600,0.0093,0.0089
39650,0.009,0.0091
39700,0.0102,0.0107
39750,0.0089,0.0101
39800,0.0082,0.0072
39850,0.0083,0.0065
39900,0.009,0.0136
39950,0.0085,0.0121
40000,0.007,0.0077
