iterazione,loss
10100, 0.0015
10150, 0.0014
10200, 0.0014
10250, 0.0014
10300, 0.0014
10350, 0.0013
10400, 0.0013
10450, 0.0013
10500, 0.0013
10550, 0.0013
10600, 0.0013
10650, 0.0013
10700, 0.0013
10750, 0.0012
10800, 0.0012
10850, 0.0012
10900, 0.0012
10950, 0.0012
11000, 0.0012
11050, 0.0011
11100, 0.0011
11150, 0.0011
11200, 0.0011
11250, 0.0011
11300, 0.0011
11350, 0.0011
11400, 0.0011
11450, 0.0010
11500, 0.0010
11550, 0.0010
11600, 0.0010
11650, 0.0010
11700, 0.0010
11750, 0.0010
11800, 0.0010
11850, 0.0010
11900, 0.0010
11950, 0.0009
12000, 0.0009
12050, 0.0009
12100, 0.0009
12150, 0.0009
12200, 0.0009
12250, 0.0009
12300, 0.0009
12350, 0.0009
12400, 0.0009
12450, 0.0009
12500, 0.0008
12550, 0.0008
12600, 0.0008
12650, 0.0008
12700, 0.0008
12750, 0.0008
12800, 0.0008
12850, 0.0008
12900, 0.0008
12950, 0.0008
13000, 0.0008
13050, 0.0008
13100, 0.0007
13150, 0.0007
13200, 0.0007
13250, 0.0007
13300, 0.0007
13350, 0.0007
13400, 0.0007
13450, 0.0007
13500, 0.0007
13550, 0.0007
13600, 0.0007
13650, 0.0007
13700, 0.0007
13750, 0.0006
13800, 0.0006
13850, 0.0006
13900, 0.0006
13950, 0.0006
14000, 0.0006
14050, 0.0006
14100, 0.0006
14150, 0.0006
14200, 0.0006
14250, 0.0006
14300, 0.0006
14350, 0.0006
14400, 0.0006
14450, 0.0006
14500, 0.0006
14550, 0.0006
14600, 0.0024
14650, 0.0020
14700, 0.0017
14750, 0.0014
14800, 0.0013
14850, 0.0012
14900, 0.0011
14950, 0.0010
15000, 0.0021
15050, 0.0019
15100, 0.0017
15150, 0.0016
15200, 0.0015
15250, 0.0014
15300, 0.0013
15350, 0.0012
15400, 0.0012
15450, 0.0011
15500, 0.0011
15550, 0.0010
15600, 0.0010
15650, 0.0010
15700, 0.0010
15750, 0.0010
15800, 0.0010
15850, 0.0009
15900, 0.0009
15950, 0.0009
16000, 0.0009
16050, 0.0009
16100, 0.0009
16150, 0.0009
16200, 0.0009
16250, 0.0008
16300, 0.0008
16350, 0.0008
16400, 0.0008
16450, 0.0008
16500, 0.0008
